NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMV,AT0000743059,2351.27,2501.25,2127.83,2313.83,2803.55,4376.41,9161.5,20531.38,16346.76,20567.65,8552.22,11569.71,13427.85,11805.15,13227.13,14434.29,8678.84,8654.61,11534.01,19702.45,17095.8,15928.22,14081.75,20617.08,15428.69,13948.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERBUND,AT0000746409,2395.04,1338.46,1685.25,1181.67,1353.21,2012.05,3381.42,6355.44,7458.3,9328.55,5823,5921.15,6764.24,5049.5,3760.92,3754.64,3061.08,2076.35,2682.72,4449.27,8602.55,8708.88,16715.06,18490.59,14316.05,12938.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIENERBERGER,AT0000831706,1707.33,1284.13,1416.67,1056.84,1112.64,2104.58,3558.27,3192.15,4672.77,3628.3,1111.33,2006.77,2596.79,1450.47,1189.66,1919.1,1692.66,1894.73,2246.53,2904.11,2682.59,3439.25,4030.95,4100.22,3309.31,3827.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIENNA INSURANCE GROUP A,AT0000908504,160.76,148.24,143.22,132.64,163.77,248.85,415.42,6525.86,7649.95,8240.33,3709.82,5757.11,7311.04,5907.01,6441.53,6232.01,5514.53,3149.56,3105.43,4308.48,3058.28,3487.46,3363.32,3831.08,3401.07,3566.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOESTALPINE,AT0000937503,1029.19,1008.48,935.63,902.41,942.37,1908,2972.49,4512.96,9216.73,9372.92,3799.53,5672.54,7967.2,6181.76,6072.69,7696.25,6336.84,4743.45,7507.29,10724.96,5129.79,4496.67,6714.16,6094.03,5956.51,4974.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYR-MELNHOF KARTON,AT0000938204,624.43,586.94,559.03,657.03,1000.58,1521.58,2077.43,1849.33,2311.06,2150.6,1526.91,2055.7,2351.06,1950.55,2289.87,2460.39,2131.03,2302.35,2302.14,3073.41,2616.4,2780.49,3925.15,3891.51,3387.38,2607.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMMOFINANZ,AT0000A21KS2,200.24,266.15,359.64,591.75,985.54,1630.83,2312.69,3425.92,6973.02,4194.03,507.41,1479.5,4568.45,4061,4942.97,5295.18,2792.25,2192.21,1900.88,2691.45,2927.51,3121.44,2550.21,3639.62,1771.86,3229.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,93.46,210.18,106.01,170.53,384.15,629.16,787.91,840.04,1164.59,1660.12,591.64,1370.97,2205.69,2097.43,2201.93,2211.98,1958.72,2147.25,2555.94,3247.14,2206.06,1543.14,1598.51,1402.82,830.45,1305.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTOCRAT LEISURE,AU000000ALL7,581.27,1630.08,1381.59,1403.08,647.51,763.19,3924.61,3995.89,5969.87,3889.93,1066.62,2006.43,1572.46,1455.92,2075.53,2310.28,3459.01,4514.58,7448.88,11826.8,11483.88,15627.55,16406.85,19426.48,16421.37,18292.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,AU000000AMP6,13502.42,10354.24,11807.86,10549.79,5950.92,6243.26,11265.22,11783.24,15277.61,13559.11,6789.19,10895.34,11824.79,13328.47,15986.01,11227,13970.82,10940.24,11365.5,11525.8,5157.53,4011.08,4145.25,2220.05,2777.96,1709.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
