NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,AN8068571086,,,1400000,1136000,1358000,1423000,1423000,1125000,1369000,1483000,1483000
ALUAR,ARALUA010258,,,,,,,,,,,
BANCO BBVA ARGENTINA,ARP125991090,,,,,,1623,1709,1847,1847,1868,367
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,
STRABAG SE,AT000000STR1,,,,,,,,,768433,768433,
FLUGHAFEN WIEN,AT00000VIE62,,,,,,,,,,,
RAIFFEISEN BANK INTL.,AT0000606306,305,305,208,6027,6508,5944,7073,6221,4827,6060,6060
ERSTE GROUP BANK,AT0000652011,32749,32749,49122,22630,27854,27332,29950,24929,21530,20707,18701
TELEKOM AUSTRIA,AT0000720008,27476,27476,27446,27419,27867,27003,22758,21411,21316,21316,24048
ANDRITZ,AT0000730007,105229,105229,76563,64155,63396,71677,22452,25968,25968,24090,53194
OMV,AT0000743059,12907485,12800000,11900000,11000000,11100000,11100000,10600000,10700000,13900000,11700000,10000000
VERBUND,AT0000746409,,2777193,,,,1070000,1073000,1073000,454000,585000,292000
WIENERBERGER,AT0000831706,323971,955453,979996,1074000,1365000,1408000,1408000,1155000,2484000,2767700,1909400
VIENNA INSURANCE GROUP A,AT0000908504,4010,4010,3338,3520,4833,5102,3129,13512,13512,14210,15149
VOESTALPINE,AT0000937503,8897315,7664383,8027734,8042542,8062326,12681486,13614420,13614420,14453739,12710000,12530000
MAYR-MELNHOF KARTON,AT0000938204,373490,373490,,,,,,,,,
IMMOFINANZ,AT0000A21KS2,,,,,2546,3021,2879,3043,3952,2397,2397
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,2405430,2285288,2186722,2209133,2151902,2156481,2156481,2092331,2092331,
ARISTOCRAT LEISURE,AU000000ALL7,13550,13550,8683,17854,28052,33273,50024,50024,22581,5638,20477.02
AMP,AU000000AMP6,115,,1744,69,68,,75,355,146,29,27
ANSELL,AU000000ANN9,15589,6949,7902,141634,141634,122855,96094,119119,126937,130153,130153
ANZ GROUP HOLDINGS,AU000000ANZ3,16037,16037,22688,21122,19024,17970,16249,11762,6424,5819,6185
APA GROUP,AU000000APA1,,,350922,350922,1228807,1205708,1228015,1322249,1322249,1429978,1379338
ASX,AU000000ASX7,153,153,69,11,48,3,3,30,22,34,50
BENDIGO & ADELAIDE BANK,AU000000BEN6,2972,2972,3306,3754,3754,3226,3226,3283,3283,2002,2236
BHP GROUP,AU000000BHP4,22700000,20700000,11300000,10500000,10500000,9700000,9500000,9500000,9200000,9200000,8000000
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,2676096,,2089239,1964473,1980000,2044000,1895000,1895000,1329000,1329000,
BANK OF QLND.,AU000000BOQ8,4669,4669,3028,1388,2525,3120,3120,1890,248,423,423
BEACH ENERGY,AU000000BPT9,94915,62969,62969,40917,18297,495740,1165045,1165045,550468,588979,494253
BLUESCOPE STEEL,AU000000BSL0,8095000,7747317,7719000,8145000,8627000,8590000,8590000,8590000,8800000,8640000,8400000
BWP TRUST,AU000000BWP3,0,0,0,0,0,0,0,0,0,0,0
COMMONWEALTH BK.OF AUS.,AU000000CBA7,7936,7936,8118,9694,9694,7624,7624,8306,8768,6667,7891
CHALLENGER,AU000000CGF5,71,71,0,0,0,4,4,2,1,1,2.9
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,1532000,1790000,1964000,2202000,2689000,2634000,2391000,,,
COCHLEAR,AU000000COH5,4813,4813,3656,3968,5395,728,231,231,823,251,916
COMPUTERSHARE,AU000000CPU5,4033,4033,4529,2736,2265,1987,2171,1811,1811,3668,2640
CHARTER HALL RETAIL REIT,AU000000CQR9,2333,6007,87,324,148,168,404,183,11421,324,384
CSL,AU000000CSL8,59786,59786,83378,90937,87244,94575,102506,117051,109542,109542,113298
CSR DEAD - DEAD.10/07/24,AU000000CSR5,367113,313461,313461,351912,453531,442072,306981,306981,266098,271550,
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,436862,527017,660883,700113,749320,749320,853568,1066570,1125679
DOWNER EDI,AU000000DOW2,219760,219760,220568,220568,224700,334700,356300,394990,414370,325600,296532
DEXUS STAPLED UNITS,AU000000DXS1,5427,10781,15021,17043,19856,17596,17596,17212,16361,16361,12828
ELDERS,AU000000ELD6,,,94952,94952,15782,15430,12386,15824,55419,64387,59221
ENERGY RES.OF AUS.,AU000000ERA9,,63716,,,,,,,,,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,423646,325488,331004,40749,48257,55106,52240,52240,22148,10934,22554
GOODMAN GROUP,AU000000GMG2,,,4235,2477,2235,2125,1133,1278,1278,3105,3176
GPT GROUP STAPLED UNITS,AU000000GPT8,10076,8985,13107,13286,9044,10041,9732,6943,7799,7799,7525
GWA GROUP,AU000000GWA4,10012,10012,10012,3077,3077,5145,495,723,668,886,351
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,108410,1444,,,,,,,,,
HARVEY NORMAN HOLDINGS,AU000000HVN7,5856,5856,5897,6402,6117,5982,5982,6110,6383,6383,6204.02
INSURANCE AUS.GROUP,AU000000IAG3,8702,,10600,9981,10082,11461,6716,6716,5601,4869,5617
INSIGNIA FINANCIAL,AU000000IFL2,0,0,321,230,201,257,277,287,271,328,0
IGO,AU000000IGO4,20342,36608,36608,49621,49621,103644,103644,63179,63337,62168,105438
ILUKA RESOURCES,AU000000ILU1,356452,,246139,215226,215225,309145,308606,372917,372917,502000,454000
INCITEC PIVOT,AU000000IPL1,2362749,2200000,2400000,2349534,2749847,3423867,3080346,3080346,3112182,3550961,3595407
IRESS,AU000000IRE2,827,827,585,140,287,292,302,388,176,206,181
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,9320,10942,6070,5076,4932,6487,5894.454,5391,5391,9886,
JB HI-FI,AU000000JBH7,16537,16537,14753,5188,5241,7678,7446,7446,7759,8106,8805
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,7149570,7149570,6511407,625847,226739,238928,330836,313736,370185,365779,365779
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,46159,46159,212289,86745,83683,118509,118509,106751,39259,22646,31000
MACMAHON HOLDINGS,AU000000MAH3,40648,,,,,28502,83846,,83846,15125,894
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,7066,11441,9867,4640,4640,6623,6623,7458,6342,7125,9632
MOUNT GIBSON IRON,AU000000MGX7,,124296,,,,25481,34575,46256,69293,59295,55988.78894
MONADELPHOUS GROUP,AU000000MND5,10065,10065,9800,10998,10998,5865,15610,13521,15260,7252,7305.06
MACQUARIE GROUP,AU000000MQG1,0,0,0,0,490,539,482,461,351,351,392
METCASH,AU000000MTS0,7556,7556,8530,8530,9437,12472,14110,14110,7364,14576,15446
NATIONAL AUS.BANK,AU000000NAB4,20848,20848,18373,18373,19376,19376,19207,16579,16579,6619,5903
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,1647554,1647554,1598253,1547985,1288105,1346106,1377787,1377787,1368391,1397980,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,15096421,14934000,16752000,16717000,17195000,18524000,18524000,16600000,15273000,13421000,13923000
ORICA,AU000000ORI1,1893000,1672000,1782000,1787500,1800000,2200000,2110700,1840000,1625000,1678000,1448000
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,204959,231389,231389,134011,142669,85258,77271,85555,94720,,
PERPETUAL,AU000000PPT9,29,29,18,18,22,21,0,0,0,0,43
QANTAS AIRWAYS,AU000000QAN2,12422701,11520444,11707259,12070474,12248233,12285422,12285422,9276620,3211877,4734407,9720687
QBE INSURANCE GROUP,AU000000QBE9,1019,1019,1900,8686,7754,8250,6600,6600,5733,6448,6971
RAMSAY HEALTH CARE,AU000000RHC8,22559,18673,15221,15334,15531,16245,16245,17393,16139,24914,26834
ST BARBARA,AU000000SBM8,135717,,112788,107751,131474,146417,130489,130489,175000,145000,145000
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,,,,,,,,,,,
SEEK,AU000000SEK6,854,854,727,551,2056,1749,708,957,982,68,88
SIMS,AU000000SGM7,106935,105213,82241,67266,67266,80200,36800,36800,81200,93201,93201
STOCKLAND STAPLED UNITS,AU000000SGP0,18468,18468,26368,26368,26884,24230,24230,24230,22402,3902,1905
SONIC HEALTHCARE,AU000000SHL7,74905,8158,8326,8386,8124,8380,8380,8450,8450,28500,32503
SIGMA HEALTHCARE,AU000000SIG5,,,,24757,29328,24087,42015,32257,3076,3380,3.37
SANTOS,AU000000STO6,3677867,3260407,4350000,5040000,5820000,5490000,5830000,7740000,7970000,7980000,3012934.93
SUNCORP GROUP,AU000000SUN6,,6311,5926,5306,4519,8087,8087,4464,2810,1826,1542.75
SEVEN WEST MEDIA,AU000000SWM4,4677,4677,2325,2111,1655,1807,,,1417,1503,1876.95
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,1258,1258,908,520,539,685,688,688,667,1575,429
TABCORP HOLDINGS,AU000000TAH8,870,1811,1971,1971,2021,3087,5219,4523,2668,3265,3265
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,250,1949,1949,3190,3190,4050,4050,4391,4748,5046,5839
TELSTRA GROUP,AU000000TLS2,53645,52537,51000,50628,50643,50037,50732,36381,33086,30738,33167
WESTPAC BANKING,AU000000WBC1,10708,10708,10830,11102,9274,9824,9260,7643,7643,7297,6559
WESFARMERS,AU000000WES1,,1568933,1726600,1616038,1683420,541138,541138,556147,556147,554316,845870
WORLEY,AU000000WOR2,39475,,33887,16890,19096,10614,58713,58713,25112,22238,23963
