NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,44.76,49.05,61.01,71.48,55.89,73.98,76.52,94.05,94.61,86.7,90.23,90.85,85.52,94.17,92.76,93.09,90.89,90.67,87.82,86.75,86.08,90.1
CHALLENGER,AU000000CGF5,,,,,,34.25,33.7,25.57,27.09,25.91,59.51,60.96,67.43,55.26,56.08,77.2,72.82,51.3,48.54,52.56,44.25,32.15,35.49,38.23,71.3
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,15.7,12.55,15.58,26.17,18.26,29.8,48.06,60.4,60.41,70.68,58.37,51.44,41.66,38.78,42.94,62.29,48.96,39.77,,
COCHLEAR,AU000000COH5,,,,,,49.03,34.61,19.72,15.06,23.84,30.61,50.89,46.08,46.81,56.45,63.22,75.82,58.26,60.33,48.42,58.08,49.82,58.32,55.16,52.03
COMPUTERSHARE,AU000000CPU5,,,,,,30.29,25.72,46.63,28.01,35.59,43.6,43.7,51.36,39.83,62.86,65.86,86.93,82.7,83.09,81.66,82.25,68.1,66.5,76.98,71.79
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,6.18,10.87,14.34,11.96,17.53,16,19.58,29.45,41.43,44.64,32.53,18.37,12.9,9.53,12.83
CSL,AU000000CSL8,,,,,,50.1,52.55,55.16,70.61,58.32,78,78.82,88.54,82.97,73.99,89.54,82.6,81.09,77.41,84.47,92.91,87.44,85.95,82.53,85.72
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,44.16,64.64,49.2,74.94,80.11,73.08,51.88,72.59,67.17,50.01,59.87,69.51,55.26,59.63,54.22,48.67,43.03,41.69,34.51
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,33.45,53.94,53.14,60.53,74.56,73.5,74.37,66.76,60.26,50.92,45.36,63.76,56.97,40.41,69.36
DOWNER EDI,AU000000DOW2,,,,,,36.86,34.12,44.02,63.95,31.19,52.12,91.32,82.91,86.78,86.97,90.55,92.48,85.56,89.69,91.47,90.81,87.01,88.87,89.91,77.18
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,40.45,42.89,29.94,71.26,82.37,76.46,66.13,76.11,75.06,75.12,81.08,80.22,84.15,88.05,93.08,90.95,87.46,81.63,85.26
ELDERS,AU000000ELD6,,,,,,50.97,29.09,32.24,26.7,32.27,48.77,78.99,82.32,79.18,64.85,32.03,32.44,52.48,40.39,39.5,55.54,56.39,71.35,71.22,63.99
ENERGY RES.OF AUS.,AU000000ERA9,,,,,,,,,,42.36,57.51,63.2,51.81,67.67,42.2,39.64,31.15,40.11,42.43,43.82,32.94,39.29,37.05,34.27,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,,,,,,,,,,,20.66,12.75,39.69,26.59,30.91,31.73,25.67,37.89,29.92,31.68,31.15,30.54,,34.71,39.92
GOODMAN GROUP,AU000000GMG2,,,,,,,15.68,16.46,16.36,25.91,70.58,58.63,59.88,86.01,82.26,63.57,76,71.54,63.05,50.41,48.22,56.06,54.26,51.22,37.67
GPT GROUP STAPLED UNITS,AU000000GPT8,,,,,,27.97,66.3,65.56,65.23,75.6,86.64,74.51,71.07,74.39,62.5,76.16,58.73,53.59,58.01,61.96,67.46,77.11,78.08,79.14,
GWA GROUP,AU000000GWA4,,,,,,,,,,,66.97,54.73,49.53,56.25,65,49.95,56.62,54.43,47.11,62.09,65.12,58.54,52.67,54.19,58.78
