0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.0,761.946,1048.17,1165.778,1039.11,1047.342,2675.888,2695.384,2717.531,2625.035,2645.08,2744.22,2569.27,2580.279,2579.721,2413.429,2473.398,2489.21,2566.698,2491.306,2431.084,2484.056,2558.958,2425.704,2507.302,2825.316,2774.965,2837.315,2843.286,2837.265,2602.355,2600.09,2638.204,2655.944,2597.212,2577.49,2882.945,2798.044,2576.012,2622.611,3032.62,3279.068,3279.068,7068.698,7522.917,6685.127,5995.245,6180.912,7766.187,7823.314,8149.933,7511.814
761.946,0.0,550.724,427.247,278.29,289.748,1990.886,2006.805,2028.704,1959.956,1984.576,2059.471,1923.398,1934.977,1934.554,1847.85,1869.167,1863.194,1909.875,1869.418,1834.359,1874.862,1900.083,1784.603,1860.894,2134.006,2080.877,2142.505,2148.062,2142.478,1969.19,1968.548,1984.948,2009.889,1969.798,1946.734,2192.218,2105.583,1975.493,2061.997,2615.184,2551.115,2551.115,7821.559,8284.74,6831.332,5712.493,5860.293,7755.252,7813.121,8279.233,7601.408
1048.17,550.724,0.0,437.886,520.64,494.258,1645.358,1666.974,1689.032,1584.952,1603.202,1712.806,1523.831,1534.676,1534.093,1372.758,1425.739,1441.325,1524.13,1443.217,1384.086,1436.085,1517.108,1379.948,1462.271,1797.345,1749.562,1811.743,1817.961,1811.678,1554.858,1552.446,1594.191,1610.192,1549.272,1529.817,1853.994,1771.181,1528.931,1584.693,2079.364,2284.064,2284.064,7891.344,8424.297,7381.78,6174.131,6304.228,8289.425,8347.333,8828.643,8148.564
1165.778,427.247,437.886,0.0,182.867,156.086,1567.147,1582.3,1604.102,1541.513,1567.402,1635.6,1511.651,1523.34,1522.969,1473.567,1475.487,1459.939,1494.381,1467.845,1444.817,1478.822,1483.972,1376.06,1449.504,1708.758,1655.275,1716.705,1722.195,1716.681,1561.837,1561.838,1570.131,1597.378,1564.723,1540.563,1766.969,1680.196,1581.869,1685.73,2300.314,2125.31,2125.31,8184.074,8673.566,7092.271,5757.874,5880.851,7936.019,7993.926,8525.07,7832.173
1039.11,278.29,520.64,182.867,0.0,30.222,1740.77,1754.972,1776.618,1719.201,1745.699,1808.998,1691.987,1703.697,1703.341,1655.818,1658.28,1641.996,1673.474,1650.098,1627.683,1661.513,1662.824,1557.291,1629.993,1880.197,1826.155,1887.137,1892.486,1887.119,1743.174,1743.297,1749.414,1777.419,1746.46,1722.131,1938.348,1851.432,1764.645,1868.214,2474.577,2281.256,2281.256,8090.963,8560.968,6925.399,5653.848,5785.91,7789.811,7847.73,8362.055,7672.607
1047.342,289.748,494.258,156.086,30.222,0.0,1718.669,1733.195,1754.895,1695.574,1721.815,1786.983,1667.121,1678.82,1678.457,1627.617,1631.375,1616.005,1649.227,1623.929,1600.437,1634.814,1638.688,1531.898,1605.041,1858.842,1804.97,1866.103,1871.497,1866.083,1717.717,1717.759,1725.083,1752.714,1720.724,1696.517,1917.02,1830.137,1737.778,1840.186,2444.675,2264.329,2264.329,8093.639,8567.528,6955.617,5679.885,5810.994,7819.397,7877.316,8392.264,7702.753
2675.888,1990.886,1645.358,1567.147,1740.77,1718.669,0.0,30.354,47.822,133.166,155.859,68.662,251.06,250.883,251.712,640.691,469.701,370.502,198.026,387.895,512.576,445.558,192.1,341.395,273.846,153.372,114.739,172.159,178.734,172.056,309.823,318.392,198.15,238.756,339.734,325.128,208.791,130.042,472.185,658.205,1413.731,699.065,699.065,9408.793,10005.922,8273.429,6321.52,6355.786,8855.294,8911.81,9634.093,8909.062
2695.384,2006.805,1666.974,1582.3,1754.972,1733.195,30.354,0.0,22.147,162.556,183.469,57.469,280.795,280.319,281.156,670.653,499.639,400.694,228.296,417.989,542.745,475.475,222.452,371.341,304.199,130.38,86.698,146.455,152.935,146.367,337.986,346.575,225.662,264.854,367.874,353.976,187.582,104.784,500.309,685.062,1436.833,670.023,670.023,9436.76,10032.405,8268.295,6304.301,6337.101,8843.466,8899.927,9626.46,8900.893
2717.531,2028.704,1689.032,1604.102,1776.618,1754.895,47.822,22.147,0.0,173.908,191.512,40.583,292.387,291.129,291.981,682.518,511.529,413.768,242.168,430.575,555.579,487.311,237.304,388.478,319.182,108.314,66.935,125.106,131.635,125.011,346.076,354.674,233.208,270.186,375.844,363.294,165.436,83.185,508.012,690.542,1437.216,651.371,651.371,9456.577,10053.197,8282.448,6310.023,6341.53,8853.351,8909.772,9639.116,8913.221
2625.035,1959.956,1584.952,1541.513,1719.201,1695.574,133.166,162.556,173.908,0.0,35.261,167.637,118.502,117.767,118.602,508.635,337.631,240.389,72.504,256.814,381.879,313.418,72.797,229.017,151.001,256.666,236.217,282.109,288.521,281.965,178.339,186.816,71.77,117.329,208.163,192.253,300.436,242.47,340.305,528.889,1294.043,814.443,814.443,9305.256,9912.277,8331.766,6424.891,6463.962,8939.273,8995.983,9702.016,8979.203
2645.08,1984.576,1603.202,1567.402,1745.699,1721.815,155.859,183.469,191.512,35.261,0.0,178.078,107.507,103.384,104.263,494.101,323.847,231.222,79.714,245.805,370.321,299.652,86.146,235.353,152.993,262.697,249.442,289.565,295.742,289.411,154.67,163.268,42.292,85.122,184.512,172.043,301.311,252.088,316.89,502.426,1263.099,819.446,819.446,9308.075,9918.939,8366.658,6458.67,6497.087,8974.415,9031.119,9737.202,9014.428
2744.22,2059.471,1712.806,1635.6,1808.998,1786.983,68.662,57.469,40.583,167.637,178.078,0.0,283.779,280.928,281.802,672.178,501.81,407.152,239.384,422.773,547.706,477.594,236.909,392.103,317.842,91.269,72.271,114.97,121.481,114.834,330.005,338.54,217.742,250.171,359.298,349.359,142.865,74.841,490.226,668.463,1407.235,647.488,647.488,9466.342,10067.265,8323.028,6346.708,6377.112,8892.75,8949.152,9679.509,8953.538
2569.27,1923.398,1523.831,1511.651,1691.987,1667.121,251.06,280.795,292.387,118.502,107.507,283.779,0.0,11.754,11.498,390.136,219.142,123.78,60.893,138.996,263.99,194.924,73.793,143.98,62.577,369.995,353.875,396.611,402.852,396.459,78.32,84.989,77.3,86.948,104.029,81.178,408.557,358.379,229.945,422.769,1199.165,926.952,926.952,9203.789,9818.138,8369.054,6506.389,6550.372,9000.889,9057.775,9747.951,9027.453
2580.279,1934.977,1534.676,1523.34,1703.697,1678.82,250.883,280.319,291.129,117.767,103.384,280.928,11.754,0.0,0.879,391.713,220.986,128.418,66.479,142.453,266.967,196.754,80.212,154.73,74.091,366.047,351.618,392.949,399.126,392.795,70.535,77.789,69.952,75.714,97.75,76.853,403.371,355.265,226.235,418.246,1192.973,922.32,922.32,9210.958,9826.282,8379.714,6513.928,6557.372,9010.171,9067.044,9758.203,9037.576
2579.721,1934.554,1534.093,1522.969,1703.341,1678.457,251.712,281.156,291.981,118.602,104.263,281.802,11.498,0.879,0.0,390.849,220.117,127.545,67.025,141.574,266.089,195.884,80.711,154.145,73.661,366.925,352.486,393.827,400.005,393.673,70.06,77.268,70.796,76.25,97.169,76.149,404.244,356.141,225.524,417.582,1192.414,923.197,923.197,9210.125,9825.485,8379.805,6514.382,6557.869,9010.455,9067.33,9758.36,9037.752
2413.429,1847.85,1372.758,1473.567,1655.818,1627.617,640.691,670.653,682.518,508.635,494.101,672.178,390.136,391.713,390.849,0.0,171.025,271.613,443.693,253.202,131.41,195.221,451.779,337.628,373.929,754.758,743.261,782.358,788.335,782.199,347.008,338.981,455.401,431.315,320.364,324.486,786.473,745.994,211.454,214.189,928.041,1305.448,1305.448,8869.031,9507.035,8493.358,6777.723,6837.354,9203.615,9260.981,9897.819,9186.314
2473.398,1869.167,1425.739,1475.487,1658.28,1631.375,469.701,499.639,511.529,337.631,323.847,501.81,219.142,220.986,220.117,171.025,0.0,102.659,273.09,83.164,51.288,24.236,281.681,187.196,206.138,585.608,572.6,612.934,619.004,612.777,182.103,174.797,286.113,265.963,158.964,157.409,619.53,575.931,106.483,260.219,1039.463,1139.168,1139.168,9014.324,9641.772,8435.714,6656.069,6709.062,9112.201,9169.377,9829.592,9113.92
2489.21,1863.194,1441.325,1459.939,1641.996,1616.005,370.502,400.694,413.768,240.389,231.222,407.152,123.78,128.418,127.545,271.613,102.659,0.0,172.639,20.434,142.098,79.978,180.223,103.008,103.488,493.775,476.585,520.345,526.6,520.194,115.885,112.164,197.766,189.053,108.069,89.544,531.788,481.876,157.933,344.862,1128.581,1050.604,1050.604,9085.32,9704.295,8378.414,6567.676,6617.809,9037.506,9094.58,9766.422,9048.759
